Modèle,N,M,⟨k⟩,GCC (nœuds),GCC (%),Distance GCC,Isolats,k_max,C
Real Marvel,303,1434,9.47,277,91.42,2.67,17,106,0.31
"Random G(n, m)",303,1784,11.78,303,100.0,2.58,0,22.16,0.04
